Celebrity name,IG profile,fb profile,Twitter profile,Gender,Age,DOB,Ethnicity,Interest,Sexual orientation,Current city
Tamer Hosny,https://www.instagram.com/tamerhosny,https://www.facebook.com/TamerHosny,https://twitter.com/tamerhosny,M,44.0,16/8/1977,other(Egypt),Music/Acting,heterosexual,Egypt
Jair M Bolsonaro,https://www.instagram.com/jairmessiasbolsonaro,https://www.facebook.com/jairmessias.bolsonaro/,https://twitter.com/jairbolsonaro,M,66.0,21/3/1955,caucasian,Politics,heterosexual,Brazil
Timati,https://www.instagram.com/timatiofficial,https://www.facebook.com/timatimusic,https://twitter.com/timatiofficial,M,38.0,15/8/1983,caucasian,Music,heterosexual,Los Angeles
Davido Adeleke,https://www.instagram.com/davidoofficial,https://www.facebook.com/Davido30bgfans/,https://twitter.com/davido,M,28.0,21/11/1992,African American,Music,heterosexual,Nigeria
Jeffree Star,https://www.instagram.com/jeffreestar,http://facebook.com/JeffreeStar,http://twitter.com/jeffreestar,M,35.0,15/11/1985,caucasian,Music/Fashion,homosexual,California
Martin Garrix,https://www.instagram.com/martingarrix,https://www.facebook.com/martin.garrix,https://twitter.com/martingarrix,M,25.0,14/5/1996,caucasian,Music,heterosexual,Amsterdam
Russell Westbrook,https://www.instagram.com/russwest44,https://www.facebook.com/russellwestbrook,https://twitter.com/russwest44,M,32.0,12/11/1988,African American,Sport,heterosexual,Oklahoma City
Gading Marten,https://www.instagram.com/gadiiingmoto/,,,M,39.0,8/5/1982,asian,Acting,heterosexual,Indonesia
Burak zdemir,https://www.instagram.com/cznburak,https://www.facebook.com/profile.php?id=100044230073854,https://twitter.com/cznburak,M,27.0,24/3/1994,caucasian,Food,heterosexual,Turkey
6ix9ine,https://www.instagram.com/6ix9ine,https://www.facebook.com/Official6ix9ine,https://twitter.com/6ix9ine,M,25.0,8/5/1996,hispanic,Music,heterosexual,New York
Enrique Iglesias,https://www.instagram.com/enriqueiglesias,https://www.facebook.com/Enrique/,https://twitter.com/enriqueiglesias,M,46.0,8/5/1975,caucasian,Music,heterosexual,Miami
Bretman Rock,https://www.instagram.com/bretmanrock,https://www.facebook.com/thebretmanrock,https://twitter.com/bretmanrock,M,23.0,31/7/1998,Asian,Social Media/youtuber,homosexual,Hawaii
Lewis Hamilton,https://www.instagram.com/lewishamilton,https://www.facebook.com/LewisHamilton,https://twitter.com/lewishamilton,M,36.0,7/1/1985,other,Sport,heterosexual,Monaco
Raditya Dika,https://www.instagram.com/raditya_dika,https://www.facebook.com/radityadikapages,https://twitter.com/radityadika,M,36.0,28/12/1984,asian,Acting,Heterosexual,Indonesia
Mark Wahlberg,https://www.instagram.com/markwahlberg,https://www.facebook.com/markwahlberg,https://twitter.com/markwahlberg,M,50.0,5/6/1971,caucasian,Acting,Heterosexual,Los Angeles
Julio Cocielo,https://www.instagram.com/cocielo,https://www.facebook.com/Cocielo,https://twitter.com/cocielo,M,28.0,25/5/1993,other(brasil),Acting,Heterosexual,brazil
Sam Smith,https://www.instagram.com/samsmith,https://www.facebook.com/samsmithworld,https://twitter.com/samsmith?lang=en,M,29.0,19/5/1992,caucasian,Music,Homosexual,London
Wayne Rooney,https://www.instagram.com/waynerooney,https://www.facebook.com/WayneRooney,https://twitter.com/WayneRooney,M,36.0,24/10/1985,caucasian,Sport,Heterosexual,Everton
Jaime Lorente,https://www.instagram.com/jaimelorentelo,https://www.facebook.com/JaimeLorenteLA/,https://twitter.com/jaimelorente?lang=en,M,29.0,12/12/1991,Caucasian,Acting,Heterosexual,Spain
Guru Randhawa,https://www.instagram.com/gururandhawa,https://www.facebook.com/GuruRandhawa,https://twitter.com/GuruOfficial?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,M,30.0,30/8/1991,Indian,Music,Heterosexual,India
Tyler Blevins,https://www.instagram.com/ninja,https://www.facebook.com/NinjaTB,https://twitter.com/Ninja?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,M,30.0,5/6/1991,Caucasian,Streammer/Youtuber,Heterosexual,California
Ricky Martin,https://www.instagram.com/ricky_martin,https://www.facebook.com/RickyMartinOfficialPage,https://twitter.com/ricky_martin,M,49.0,24/12/1971,Caucasian,Music/Acting,Homosexual,Las Vegas
Jason Momoa,https://www.instagram.com/prideofgypsies,https://www.facebook.com/1JasonMomoaFans/,https://twitter.com/jasonmomoa_th,M,42.0,1/8/1979,other,Acting,Heterosexual,Los Angeles
Charlie Puth,https://www.instagram.com/charlieputh,https://www.facebook.com/charlieputh,https://twitter.com/charlieputh,M,29.0,2/12/1991,Caucasian,Music,Heterosexual,Los Angeles
Jaden Smith,https://www.instagram.com/c.syresmith,https://www.facebook.com/officialjaden,https://twitter.com/jaden,M,23.0,8/7/1998,African American,Acting/Dance/Music,Heterosexual,Los Angeles
 Pavel Volya,https://www.instagram.com/pavelvolyaofficial,https://www.facebook.com/pavelvolyaofficial,https://twitter.com/realvolya,M,42.0,14/3/1979,Caucasian,Acting/Music,Heterosexual,Mosca
Jake Paul,https://www.instagram.com/jakepaul.9,https://www.facebook.com/jakepaul,https://twitter.com/jakepaul,M,24.0,17/1/1997,Caucasian,Youtuber,Heterosexual,Los Angeles
Gabriel Jesus,https://www.instagram.com/dejesusoficial,https://www.facebook.com/gabrieljesus,https://twitter.com/gabrieljesus9,M,24.0,3/4/1997,African American,Sport,Heterosexual,Manchester
Eugenio Derbez,https://www.instagram.com/ederbez,https://www.facebook.com/EugenioDerbezTV,https://twitter.com/EugenioDerbez,M,60.0,2/9/1961,other(mexico),Acting,Heterosexual,California
Cameron Boyce,https://www.instagram.com/thecameronboyce,https://www.facebook.com/TheCameronBoyceOFC,https://twitter.com/thecameronboyce,M,22.0,28/5/1999,Caucasian,Acting/Dance,Heterosexual,Los Angeles
Odell Beckham Jr,https://www.instagram.com/obj,https://www.facebook.com/odell.beckham,https://twitter.com/obj,M,28.0,5/11/1992,African American,Sport,Heterosexual,Louisiana
Leo Santana,https://www.instagram.com/leosantana,https://it-it.facebook.com/LeoSantana,https://twitter.com/leosantana,M,33.0,22/4/1988,African American,Music,Heterosexual,brazil
lee min-ho,https://www.instagram.com/actorleeminho,https://www.facebook.com/OfficialLeeMinho,https://twitter.com/actorleeminho,M,34.0,22/6/1987,Asian,Acting/Music,Heterosexual,South Korea
Juan De Dios Pantoja,https://www.instagram.com/juandediospantoja,https://es-la.facebook.com/JuanDeDiosPantojaCorona/,https://twitter.com/juandedios_p,M,25.0,16/11/1995,Caucasian,Youtuber,Heterosexual,Mexico
Raphael Varane,https://www.instagram.com/raphaelvarane,https://www.facebook.com/raphaelvarane,https://twitter.com/raphaelvarane,M,28.0,25/4/1993,other,Sport,Heterosexual,Manchester
Gaten Matarazzo,https://www.instagram.com/gatenm123,https://www.facebook.com/people/Gaten-Matarazzo/100044337944498/,https://twitter.com/gatenm123,M,19.0,8/9/2002,Caucasian,Acting,Heterosexual,New Jersey
John Cena,https://www.instagram.com/johncena,https://www.facebook.com/johncena,https://twitter.com/JohnCena,M,44.0,23/4/1977,Caucasian,Sport,Heterosexual,florida
Tyrese Gibson,https://www.instagram.com/tyrese,https://www.facebook.com/tyrese,https://twitter.com/tyrese,M,42.0,30/12/1978,African American,Acting/Music,Heterosexual,Los Angeles
gusein gasanov,https://www.instagram.com/gusein.gasanov,None,None,M,27.0,5/6/1994,Caucasian,Youtuber,Heterosexual,Mosca
Miguel Herran,https://www.instagram.com/miguel.g.herran,https://it-it.facebook.com/pages/category/Artist/Miguel-Herr%C3%A1n-2044373705781867/,https://twitter.com/herran_herran,M,25.0,25/4/1996,Caucasian,Acting,Heterosexual,Madrid
Liam Hemsworth,https://www.instagram.com/liamhemsworth,https://www.facebook.com/liamhemsworth,https://twitter.com/liamhemsworth,M,31.0,13/1/1990,Caucasian,Acting,Heterosexual,Malibu
Falcao,https://www.instagram.com/falcao,https://www.facebook.com/GarciaZarateRadamelFalcao,https://twitter.com/FALCAO,M,35.0,10/2/1986,other(Colombia),Sport,Heterosexual,Colombia
Aliando Syarief,https://www.instagram.com/aliandooo,https://www.facebook.com/thealiando,https://twitter.com/alysyarief,M,25.0,26/10/1996,Asian,Acting,Heterosexual,Jakarta
Rohit Sharma,https://www.instagram.com/rohitsharma45,https://www.facebook.com/RohitSharmaOfficialPage,https://twitter.com/imro45,M,34.0,30/4/1987,Indian,Sport,Heterosexual,Mumbai
paulo gustavo,https://www.instagram.com/paulogustavo31,https://www.facebook.com/Paulo.Gustavo.oficial/,https://twitter.com/paulogustavo31,M,43.0,30/10/1978,Caucasian,Acting,Homosexual,Brazil
Gucci Mane,https://www.instagram.com/laflare1017,https://www.facebook.com/guccimane/,https://twitter.com/gucci1017,M,41.0,12/2/1980,African American,Music,Heterosexual,Florida
Joe Jonas,https://www.instagram.com/joejonas,https://www.facebook.com/joejonas,https://twitter.com/joejonas,M,32.0,15/8/1989,Caucasian,Music/Acting/Dance,Heterosexual,Los Angeles
Roberto Firmino,https://www.instagram.com/roberto_firmino,https://www.facebook.com/robertofirmino,https://twitter.com/thefabfirmino,M,30.0,2/10/1991,other(Brazil),Sport,Heterosexual,Liverpool
Michael B Jordan,https://www.instagram.com/michaelbjordan,https://www.facebook.com/michaelbjordan,https://twitter.com/michaelb4jordan,M,34.0,9/2/1987,African American,Acting,Heterosexual,Hollywood
Prince Royce,https://www.instagram.com/princeroyce,https://www.facebook.com/princeroyce,https://twitter.com/PrinceRoyce,M,32.0,11/5/1989,Caucasian,Music,Heterosexual,New York
Rafael Vitti,https://www.instagram.com/rafaavitti,https://pt-br.facebook.com/rafaavitti,https://twitter.com/rafaavitti,M,26.0,2/11/1995,Caucasian,Acting/Music,Heterosexual,Brazil
Jordi Alba,https://www.instagram.com/jordialbaoficial,https://www.facebook.com/jordialbaofficial,https://twitter.com/jordialba,M,32.0,21/3/1989,Caucasian,Sport,Heterosexual,Barcellona
Adam Levine,https://www.instagram.com/adamlevine,https://www.facebook.com/OfficialAdamLevine/,https://twitter.com/adamlevine,M,42.0,18/3/1979,Caucasian,Music,Heterosexual,hollywood
Ahmad Al Shugairi,https://www.instagram.com/ahmadalshugairi,https://www.facebook.com/AhmadAlShugairi/,https://twitter.com/shugairi,M,48.0,6/6/1973,Asian,Writing/Acting,Heterosexual,Saudi Arabia
Atta Halilintar,https://www.instagram.com/attahalilintar,https://www.facebook.com/public/Atta-Halilintar,https://twitter.com/attahalilintar,M,26.0,20/11/1994,Asian,Youtube/Music,Heterosexual,Jakarta
Arturo Vidal,https://www.instagram.com/kingarturo23oficial,https://www.facebook.com/arturovidal8,https://twitter.com/kingarturo23,M,34.0,22/5/1987,other(Cile),Sport,Heterosexual,Italy
German Garmendia,https://www.instagram.com/germangarmendia,https://www.facebook.com/germangarmendia,https://twitter.com/GermanGarmendia,M,31.0,25/4/1990,other(Cile),Music,Heterosexual,Cile
Marcos Mion,https://www.instagram.com/marcosmion,https://it-it.facebook.com/MarcosMionOficial,https://twitter.com/marcosmion,M,42.0,20/6/1979,other(Brazil),Acting,Heterosexual,San Paolo
Pharrell Williams,https://www.instagram.com/pharrell,https://www.facebook.com/Pharrell,https://twitter.com/Pharrell,M,48.0,5/4/1973,African American,Music,Heterosexual,Los Angeles
ludacris,https://www.instagram.com/ludacris,https://www.facebook.com/ludacris,https://twitter.com/Ludacris,M,44.0,11/9/1977,African American,Music/Acting,Heterosexual,Los Angeles
DAVID DOBRIK,https://www.instagram.com/daviddobrik,https://www.facebook.com/DavidDobrikOfficial,https://twitter.com/DavidDobrik,M,25.0,23/7/1996,Caucasian,Youtuber/Acting,Heterosexual,Los Angeles
John Legend,https://www.instagram.com/johnlegend,https://www.facebook.com/johnlegend,https://twitter.com/johnlegend,M,42.0,28/12/1978,African American,Music/Acting,Heterosexual,New York
French Montana,https://www.instagram.com/frenchmontana,https://www.facebook.com/FrenchMontanaOfficial/,https://twitter.com/FrencHMonTanA,M,36.0,9/11/1984,African American,Music,Heterosexual,Los Angeles
Joao Guilherme,https://www.instagram.com/joaoguilherme,https://www.facebook.com/joaoguiavila,https://twitter.com/Joaoguiavila,M,19.0,1/2/2002,Caucasian,Music,Heterosexual,Brazil
irfan hakim,https://www.instagram.com/irfanhakim75,https://www.facebook.com/IrfanHakimPage,https://twitter.com/irfanhakimlove,M,46.0,15/10/1975,asian,Acting,Heterosexual,Indonesia
Brooklyn Beckham,https://www.instagram.com/brooklynbeckham,https://www.facebook.com/brooklynbeckham,https://twitter.com/brooklynbeckham,M,22.0,4/3/1999,Caucasian,Model/Influencer,Heterosexual,London
Ridwan Kamil,https://www.instagram.com/ridwankamil,https://www.facebook.com/mochamadridwankamil,https://twitter.com/ridwankamil,M,50.0,4/10/1971,Asian,Politics,Heterosexual,Indonesia
Marco Asensio,https://www.instagram.com/marcoasensio10,https://www.facebook.com/marcoasensio10,https://twitter.com/marcoasensio10,M,24.0,21/12/1996,Caucasian,Sport,Heterosexual,Madrid
Felipe Neto,https://www.instagram.com/felipeneto,https://www.facebook.com/felipeneto,https://twitter.com/felipeneto,M,33.0,21/1/1988,Caucasian,Acting,Heterosexual,Brazil
FAISAL SHAIKH,https://www.instagram.com/mr_faisu_07,https://www.facebook.com/faisusqua/,https://twitter.com/mr_faisu_07,M,27.0,5/10/1994,Indian,Model/Acting,Heterosexual,Mumbai
Sylvester Stallone,https://www.instagram.com/officialslystallone,https://www.facebook.com/SylvesterStallone,https://twitter.com/TheSlyStallone,M,75.0,6/7/1946,Caucasian,Acting,Heterosexual,Beverly Hills
Casemiro,https://www.instagram.com/casemiro,https://www.facebook.com/Casemiro92,https://twitter.com/Casemiro,M,29.0,23/2/1992,other(Brazil),Sport,Heterosexual,Madrid
Lil Wayne,https://www.instagram.com/liltunechi,https://www.facebook.com/LilWayne/,https://twitter.com/LilTunechi,M,39.0,27/9/1982,African American,Music,Heterosexual,Miami
Nacho Miguelito Mendoza,https://www.instagram.com/nacho,https://it-it.facebook.com/NachoOfficial/,https://twitter.com/nacholacriatura,M,38.0,22/8/1983,other(Venezuela),Music,Heterosexual,Venezuela
Shane Dawson,https://www.instagram.com/shanedawson,None,https://twitter.com/shanedawson,M,33.0,19/7/1988,Caucasian,Acting/Music,Bisexual,Los Angeles
Ricky Harun,https://www.instagram.com/rickyharun,https://www.facebook.com/therickyharun,https://twitter.com/RickyHarun45MF,M,34.0,12/1/1987,Asian,Acting,Heterosexual,Indonesia
Camilo,https://www.instagram.com/camilomusica,https://www.facebook.com/camilomusica,https://twitter.com/CamiloMusica,M,27.0,16/3/1994,Caucasian,Music,Heterosexual,Colombia
Sebas Villalobos,https://www.instagram.com/sebas,https://www.facebook.com/VillalobosSebas,https://twitter.com/villalobossebas,M,25.0,17/1/1996,other(Colombia),Acting/Music,Heterosexual,Colombia
Mohamed Ramadan,https://www.instagram.com/mohamedramadanws,https://www.facebook.com/Ramadan,https://twitter.com/mohamed_ramadan,M,33.0,23/5/1988,African American,Acting/Music,Heterosexual,Egypt
Ji Chang-wook,https://www.instagram.com/jichangwook,https://www.facebook.com/ACTORJCW.OFFICIAL,None,M,34.0,5/7/1987,Asian,Acting,Heterosexual,South Korea
Nego do Borel,https://www.instagram.com/negodoborel,https://www.facebook.com/negodoborel,https://twitter.com/negodoborel,M,29.0,10/7/1992,African American,Music,Heterosexual,Brazil
Cesc Fabregas,https://www.instagram.com/cescf4bregas,https://www.facebook.com/cescfabregas,https://twitter.com/cesc4official,M,34.0,4/5/1987,Caucasian,Sport,Heterosexual,France
Henry Cavill,https://www.instagram.com/henrycavill,https://www.facebook.com/henrycavill/,https://twitter.com/henrycavillnews,M,38.0,5/5/1983,Caucasian,Acting,Heterosexual,London
Arjun Kapoor,https://www.instagram.com/arjunkapoor,https://www.facebook.com/ArjunKapoorOfficial,https://twitter.com/arjunk26,M,36.0,26/6/1985,Indian,Acting,Heterosexual,Mumbai
angel Di Maria,https://www.instagram.com/angeldimariajm,https://www.facebook.com/AngelDiMariaJM,https://twitter.com/oficial7dimaria,M,33.0,14/2/1988,other(Argentina),Sport,Heterosexual,Paris
Yandel,https://www.instagram.com/yandel,https://www.facebook.com/YandelelOficial,https://twitter.com/yandeloficial,M,44.0,14/1/1977,other(Portorico),Music,Heterosexual,Puerto Rico
Amr Diab,https://www.instagram.com/amrdiab,https://www.facebook.com/AmrDiab,https://twitter.com/amrdiab,M,60.0,11/10/1961,African American,Music/Acting,Heterosexual,Egypt
baim wong,https://www.instagram.com/baimwong,None,https://twitter.com/mrbaimwong,M,40.0,27/4/1981,Asian,Acting,Heterosexual,Jakarta
Michel Teló,https://www.instagram.com/micheltelo,https://www.facebook.com/MichelTelo,https://twitter.com/micheltelo,M,40.0,21/1/1981,Caucasian,Music,Heterosexual,Brazil
Acun Ilcal,https://www.instagram.com/acunilicali,None,None,M,52.0,29/5/1969,Caucasian,Acting,Heterosexual,Turkey
Marc ter Stegen,https://www.instagram.com/mterstegen1,https://www.facebook.com/mterstegen1,https://twitter.com/mterstegen1,M,29.0,30/4/1992,Caucasian,Sport,Heterosexual,Barcellona
Lucas Rangel,https://www.instagram.com/lucasranngel,https://www.facebook.com/lucasranngel,https://twitter.com/LucasRanngel,M,24.0,20/5/1997,other(Brazil),Youtuber/LifeStyle,Heterosexual,Brazil
troye sivan,https://www.instagram.com/troyesivan,https://www.facebook.com/troyesivan,https://twitter.com/troyesivan,M,26.0,5/6/1995,Caucasian,Music,Homosexual,Los Angeles
BamBam,https://www.instagram.com/bambam1a,https://www.facebook.com/bambamxabyss/,https://twitter.com/BamBam1A,M,24.0,2/5/1997,Asian,Music,Bisexual,South Korea
Alvaro Morata,https://www.instagram.com/alvaromorata,https://www.facebook.com/alvaromorata,https://twitter.com/alvaromorata,M,29.0,23/10/1992,Caucasian,Sport,Heterosexual,Torino
Hardik Pandya,https://www.instagram.com/hardikpandya93,https://www.facebook.com/OfficialHardikPandya,https://twitter.com/hardikpandya7,M,28.0,11/10/1993,Indian,Sport,Heterosexual,India
Ayushmann Khurrana,https://www.instagram.com/ayushmannk,https://www.facebook.com/ayushmannkhurrana,https://twitter.com/ayushmannk,M,37.0,14/9/1984,Indian,Acting/Music,Heterosexual,Mumbai
David De Gea,https://www.instagram.com/d_degeaofficial,https://www.facebook.com/DavidDeGeaOficial,https://twitter.com/D_DeGea,M,30.0,7/11/1990,Caucasian,Sport,Heterosexual,Uk
Kevin De Bruyne,https://www.instagram.com/kevindebruyne,https://www.facebook.com/DeBruyneOfficial,https://twitter.com/debruynekev,M,30.0,28/6/1991,Caucasian,Sport,Heterosexual,Manchester
Marc Anthony,https://www.instagram.com/marcanthony,https://www.facebook.com/officialmarcanthony,https://twitter.com/marcanthony,M,53.0,16/9/1968,Caucasian,Music/Acting,Heterosexual,Los Angeles
Karan Johar,https://www.instagram.com/karanjohar,https://www.facebook.com/Karan-Johar-FC-1385383218342485/,https://twitter.com/karanjohar,M,49.0,25/5/1972,Indian,Acting,Heterosexual,Mumbai
Nash Grier,https://www.instagram.com/nashgrier,https://www.facebook.com/nashgrier,https://twitter.com/nashgrier,M,23.0,28/12/1997,Caucasian,Actor,Heterosexual,Los Angeles
Jorge Lopez,https://www.instagram.com/jorgelopez_as,None,https://twitter.com/jorgelopez_as,M,30.0,30/10/1991,Other(Cile),Acting/Music/Dance,Heterosexual,Cile
Manuel Neuer,https://www.instagram.com/manuelneuer,https://www.facebook.com/manuel.neuer,https://twitter.com/manuel_neuer,M,35.0,27/3/1986,Caucasian,Sport,Heterosexual,Germany
Pabllo Vittar,https://www.instagram.com/pabllovittar,https://it-it.facebook.com/vittar.pabllo,https://twitter.com/pabllovittar,M,27.0,1/11/1994,other(Brazil),Music/Dance,Homosexual,Brazil
Suresh Raina,https://www.instagram.com/sureshraina3,https://www.facebook.com/SureshKumaRainaOfficial,https://twitter.com/ImRaina,M,34.0,27/11/1986,Indian,Sport,Heterosexual,India
Alvaro Morte,https://www.instagram.com/alvaromorte,None,https://twitter.com/AlvaroMorte,M,46.0,23/2/1975,Caucasian,Acting,Heterosexual,Madrid
Glenn Alinskie,https://www.instagram.com/glennalinskie,https://www.facebook.com/GlennAlinskiee,https://twitter.com/glennalinskie,M,33.0,19/10/1988,Asian,Acting,Heterosexual,Indonesia
Murat Boz,https://www.instagram.com/muratboz,https://www.facebook.com/MuratBoz,https://twitter.com/muratboz,M,41.0,7/3/1980,Caucasian,Music,Heterosexual,Turkey
Carles Puyol,https://www.instagram.com/carles5puyol,https://www.facebook.com/puyol5carles,https://twitter.com/carles5puyol,M,43.0,13/4/1978,Caucasian,Sport,Heterosexual,Spain
Bastian Schweinsteiger,https://www.instagram.com/bastianschweinsteiger,https://www.facebook.com/BastianSchweinsteiger,https://twitter.com/BSchweinsteiger,M,37.0,1/8/1984,Caucasian,Sport,Heterosexual,Austria
Alexis Sanchez,https://www.instagram.com/alexis_officia1,https://it-it.facebook.com/alexissanchez7,https://twitter.com/Alexis_Sanchez,M,32.0,19/12/1988,other(Chile),Sport,Heterosexual,London
iqbaal ramadhan,https://www.instagram.com/iqbaal.e,https://www.facebook.com/Iqbaal-Dhiafakhri-Ramadhan-148213511998100/,https://twitter.com/iqbaale,M,21.0,28/12/1999,Asian,Acting,Heterosexual,Indonesia
thefatjewish,https://www.instagram.com/thefatjewish,https://www.facebook.com/THEFATJEWISH,https://twitter.com/fatjew,M,39.0,18/2/1982,Caucasian,Life-style,Heterosexual,New York
Mike Tyson,https://www.instagram.com/miketyson,https://www.facebook.com/miketyson,https://twitter.com/MikeTyson,M,55.0,30/6/1966,African American,Sport,Heterosexual,Las Vegas
FEDEZ,https://www.instagram.com/fedez,https://www.facebook.com/fedezofficial,https://twitter.com/Fedez,M,32.0,15/10/1989,Caucasian,Music,Heterosexual,Milano
Caleb McLaughlin,https://www.instagram.com/therealcalebmclaughlin,https://www.facebook.com/calebmclaughlin,https://twitter.com/calebmclaughlin,M,20.0,13/10/2001,African American,Acting,Heterosexual,New York
Irwansyah,https://www.instagram.com/irwansyah_15,None,https://twitter.com/irwansyah_zs,M,36.0,6/3/1985,Asian,Acting/Music,Heterosexual,Indonesia
Caua Reymond,https://www.instagram.com/cauareymond,https://www.facebook.com/CauaReymond,https://twitter.com/cauareymond,M,41.0,20/5/1980,other(Brazil),Acting,Heterosexual,Brazil
Rambod javan,https://www.instagram.com/rambodjavan1,https://www.facebook.com/rambod.javan.official/,https://twitter.com/rambodjavanfans,M,49.0,22/12/1971,other(Iran),Acting,Heterosexual,Iran
JARED LETO,https://www.instagram.com/jaredleto,https://www.facebook.com/jaredleto,https://twitter.com/JaredLeto,M,49.0,26/12/1971,Caucasian,Music/Acting,Heterosexual,Los Angeles
Austin Mahone,https://www.instagram.com/austinmahone,https://www.facebook.com/AustinMahone,https://twitter.com/AustinMahone,M,25.0,04/04/1996,Caucasian,Singer,Heterosexual,Miami
Keylor Navas Gamboa,https://www.instagram.com/keylornavas1, ,   ,M,35.0,15/12/1986,Caucasian,Soccer,Heterosexual,Paris
MrBeast,https://www.instagram.com/mrbeast,https://www.facebook.com/MrBeast6000/,https://twitter.com/MrBeast,M,23.0,07/05/1998,Caucasian,"Social Media Star, Youtuber",Heterosexual,Greenville
Dc Young Fly,https://www.instagram.com/dcyoungfly,https://www.facebook.com/DcYoungFly1,https://twitter.com/dcyoungfly,M,29.0,02/05/1992,African American,Rappers,Heterosexual,Atlanta
Huang Zitao,https://www.instagram.com/hztttao, , ,M,28.0,02/05/1993,Asian,Rapper,Heterosexual,China
Vinicius Jr,https://www.instagram.com/viniciusjunior,https://www.facebook.com/viniiciusjunior11,https://twitter.com/vinijr,M,21.0,12/07/2000,African American,Soccer,Heterosexual,Brazil
Henrique e Juliano,https://www.instagram.com/henriqueejuliano,https://www.facebook.com/HenriqueeJuliano,https://twitter.com/hejoficial,M,32.0,23/05/1989,Caucasian,Music,Heterosexual,Brazil
Hamdan bin Mohammed Al Maktoum,https://www.instagram.com/faz3,https://www.facebook.com/ShkHamdan,https://twitter.com/HamdanMohammed,M,39.0,14/11/1982,Caucasian,Royalty,Heterosexual,Dubai
Josh Peck,https://www.instagram.com/shuapeck,https://www.facebook.com/joshpeckofficial,https://twitter.com/ItsJoshPeck,M,35.0,10/11/1986,Caucasian,"Actor, Voice Actor, Comedian, Youtube Personality",Heterosexual,New York
Mohamed Hamaki,https://www.instagram.com/hamaki,https://www.facebook.com/hamaki,https://twitter.com/Hamaki,M,46.0,04/11/1975,African American,Music,Heterosexual,Egypt
Chris Paul,https://www.instagram.com/cp3,https://www.facebook.com/CP3,https://twitter.com/CP3,M,36.0,06/05/1985,African American,Basketball,Heterosexual,Phoenix
Saad Lamjarred,https://www.instagram.com/saadlamjarred1,https://www.facebook.com/SaadLamjarred.Official,https://twitter.com/saadlamjarred1,M,36.0,07/04/1985,African American,Music,Heterosexual,Morocco
Memphis Depay,https://www.instagram.com/memphisdepay,https://www.facebook.com/memphisdepayofficial,https://twitter.com/Memphis,M,28.0,13/01/1994,African American,Soccer,Heterosexual,Barcelona
Calvin Harris,https://www.instagram.com/calvinharris,https://www.facebook.com/calvinharris,https://twitter.com/CalvinHarris,M,38.0,17/01/1984,Caucasian,"Dj, Singer, Songwriter, Producer",Heterosexual,Dumfries and Galloway
Jamie Foxx,https://www.instagram.com/iamjamiefoxx,https://www.facebook.com/jamiefoxx,https://twitter.com/iamjamiefoxx,M,54.0,13/12/1967,African American,Acting,Heterosexual,Los Angeles
Sushant Singh Rajput,https://www.instagram.com/sushantsinghrajput,https://www.facebook.com/SushantSinghRajput,https://mobile.twitter.com/itsssr,M,36.0,21/01/1986,Indian,Acting,Heterosexual,Mumbai
Ansel Elgort,https://www.instagram.com/ansel,https://www.facebook.com/AnselElgort,https://twitter.com/anselelgort,M,27.0,14/03/1994,Caucasian,"Acting, DJ",Heterosexual,Manhattan
Tyler The Creator,https://www.instagram.com/feliciathegoat,https://www.facebook.com/TylertheCreatorOfficial,https://twitter.com/tylerthecreator,M,30.0,06/03/1991,African American,"Rapper, Record Producer, Music Video Director",Bisexual,Los Angeles
Lil Yachty,https://www.instagram.com/lilyachty,https://www.facebook.com/lilyachtysailingteam,https://twitter.com/lilyachty,M,24.0,23/08/1997,African American,"Rapper, Singer, Songwriter",Heterosexual,Atlanta
Harry Kane,https://www.instagram.com/harrykane,https://www.facebook.com/harrykaneofficial,https://twitter.com/HKane,M,28.0,28/07/1993,Caucasian,Football,Heterosexual,Chingford
Andhika Pratama,https://www.instagram.com/andhiiikapratama, ,https://twitter.com/dhikacungkring,M,35.0,11/11/1986,Indian,Acting,Heterosexual,Indonesia
Usain Bolt,https://www.instagram.com/usainbolt,https://www.facebook.com/usainbolt,https://twitter.com/usainbolt,M,35.0,21/08/1986,African American,Sports,Heterosexual,Kingston
Immanuel Caesar Hito,https://www.instagram.com/hitocaesar, ,https://twitter.com/_hitocaesar,M,28.0,27/05/1993,Asian,Acting,Heterosexual,Indonesia
Tory Lanez,https://www.instagram.com/torylanez,https://www.facebook.com/ToryLanez,https://twitter.com/torylanez,M,29.0,27/07/1992,African American,Rappers,Heterosexual,Canada
Kendrick Lamar,https://www.instagram.com/kendricklamar,https://www.facebook.com/kendricklamar,https://twitter.com/kendricklamar,M,34.0,17/06/1987,African American,"Rapper, Songwriter",Heterosexual,Los Angeles
Pierre Emerick Aubemeyang,https://www.instagram.com/aubameyang97,https://www.facebook.com/aubameyang97,https://twitter.com/auba,M,32.0,18/06/1989,African American,Football,Heterosexual,Laval
Luis Fonsi,https://www.instagram.com/luisfonsi,https://www.facebook.com/luisfonsimusic,https://twitter.com/LuisFonsi,M,43.0,15/04/1978,Caucasian,Singer,Heterosexual,San Juan
